names,Price,Area,Unit Type
Meda Greens,4 K -89.53 L,1417-1735 sq.ft,3 BHK Apartment
Mahidhara Fortune City,23.98 L -47.97 L,,Plot
Mahidhara Fortune City,47.44 L,,2 BHK Villa
Mahidhara Fortune City,67.14 L -1.21 Cr,,3 BHK Villa
Arge Urban Bloom,59.39 L -62.81 L,1181-1249 sq.ft,2 BHK Apartment
Arge Urban Bloom,71.22 L -91.31 L,1484-1766 sq.ft,3 BHK Apartment
Phoenix One Bangalore West,78 L -87 L,1135-1285 sq.ft,2 BHK Apartment
Phoenix One Bangalore West,98 L -1.07 Cr,1460-1604 sq.ft,3 BHK Apartment
Candeur Carlisle,2.37 Cr -3.46 Cr,1763 sq.ft,2 BHK Apartment
Candeur Carlisle,2.80 Cr -5.65 Cr,2367-2557 sq.ft,3 BHK Apartment
Candeur Carlisle,4.12 Cr -8 Cr,3436-3526 sq.ft,4 BHK Apartment
Candeur Carlisle,3.85 Cr,7200 sq.ft,4+ BHK Apartment
DSR Waterscape,59.39 L -62.81 L,1181-1249 sq.ft,2 BHK Apartment
DSR Waterscape,71.22 L -91.31 L,1484-1766 sq.ft,3 BHK Apartment
Salarpuria Sattva Greenage Phase II,99.53 L -1.30 Cr,1345 sq.ft,2 BHK Apartment
Salarpuria Sattva Greenage Phase II,1.06 Cr -1.90 Cr,1590-1890 sq.ft,3 BHK Apartment
Salarpuria Sattva Greenage Phase II,2.29 Cr -2.80 Cr,2800-2870 sq.ft,4 BHK Apartment
Pashmina Waterfront,81.78 L -2.22 Cr,1636-2082 sq.ft,3 BHK Apartment
Pashmina Waterfront,1.69 Cr -2.22 Cr,3200-4200 sq.ft,3 BHK PentHouse
Pashmina Waterfront,1.59 Cr,2400 sq.ft,3 BHK Villa
Pashmina Waterfront,1.72 Cr -1.80 Cr,3595 sq.ft,4 BHK Apartment
Assetz Marq,56.18 L -88 L,1222-1277 sq.ft,2 BHK Apartment
Assetz Marq,64.83 L -1.16 Cr,1496-1639 sq.ft,3 BHK Apartment
Assetz Marq,1.06 Cr -1.30 Cr,2050 sq.ft,4 BHK Apartment
Skylark Ithaca,21.77 L -44 L,605-624 sq.ft,1 BHK Apartment
Skylark Ithaca,36.38 L -68 L,1011-1059 sq.ft,2 BHK Apartment
Skylark Ithaca,45.63 L,1268 sq.ft,2.5 BHK Apartment
Skylark Ithaca,53.40 L -1.17 Cr,1484-1610 sq.ft,3 BHK Apartment
Skylark Ithaca,70.36 L,1955 sq.ft,3 BHK PentHouse
Skylark Ithaca,1.43 Cr,2422 sq.ft,4 BHK Apartment
Skylark Ithaca,87.16 L -1.10 Cr,2422-3060 sq.ft,4 BHK PentHouse
Golden Panorama,52 L -58.27 L,1225-1295 sq.ft,2 BHK Apartment
Golden Panorama,59.17 L,1315 sq.ft,2.5 BHK Apartment
Golden Panorama,77.62 L -95 L,1725-1785 sq.ft,3 BHK Apartment
Golden Panorama,1.01 Cr -1.10 Cr,2250-2460 sq.ft,3 BHK PentHouse
Golden Panorama,1.44 Cr -1.51 Cr,3200-3360 sq.ft,4 BHK PentHouse
Assetz 63 Degree East,42 L,685 sq.ft,0.5 BHK Apartment
Assetz 63 Degree East,31.85 L -45 L,685 sq.ft,1 BHK Apartment
Assetz 63 Degree East,45.75 L -70 L,984 sq.ft,2 BHK Apartment
Assetz 63 Degree East,53.80 L -95 L,1157 sq.ft,3 BHK Apartment
Sumo Sonnet,71.09 L -73.58 L,940-975 sq.ft,2 BHK Apartment
Sumo Sonnet,85.38 L -96.49 L,1145-1305 sq.ft,3 BHK Apartment
Chowriappa Constellation,87.50 L -91.25 L,1414 sq.ft,2 BHK Apartment
Chowriappa Constellation,1.01 Cr -1.30 Cr,1586-2050 sq.ft,3 BHK Apartment
Chowriappa Constellation,1.90 Cr -2.12 Cr,3015-3378 sq.ft,4 BHK Apartment
MDVR Byrathi Residency,38.20 L -44.40 L,955-1110 sq.ft,2 BHK Apartment
MDVR Byrathi Residency,53.60 L,1340 sq.ft,3 BHK Apartment
MDVR Byrathi Residency,,1300 sq.ft,3 BHK Villa
Candeur Landmark,59.90 L -75.57 L,1110-1255 sq.ft,2 BHK Apartment
Candeur Landmark,76.37 L -77.38 L,1380-1400 sq.ft,2.5 BHK Apartment
Candeur Landmark,74.59 L -92.10 L,1485-1685 sq.ft,3 BHK Apartment
Sterling Ascentia,95 L -1.54 Cr,1591-2015 sq.ft,3 BHK Apartment
Arya Hamsa Grande,62 L -84.56 L,1245-1363 sq.ft,2 BHK Apartment
Arya Hamsa Grande,89.49 L -1.15 Cr,1636-1733 sq.ft,3 BHK Apartment
Prestige Song Of The South,36 L -44.55 L,644 sq.ft,1 BHK Apartment
Prestige Song Of The South,62.30 L -1.25 Cr,1197-1241 sq.ft,2 BHK Apartment
Prestige Song Of The South,73.20 L -74.10 L,1358-1376 sq.ft,2.5 BHK Apartment
Prestige Song Of The South,70 L -1.25 Cr,1588-1933 sq.ft,3 BHK Apartment
Prestige Song Of The South,1.28 Cr -1.49 Cr,2462-2467 sq.ft,4 BHK Apartment
Sobha Dream Acres,,656 sq.ft,0.5 BHK Apartment
Sobha Dream Acres,33.47 L -55.94 L,656-936 sq.ft,1 BHK Apartment
Sobha Dream Acres,52.11 L -88 L,1012-1210 sq.ft,2 BHK Apartment
Orchid Greens,48.81 L -77 L,1180 sq.ft,2 BHK Apartment
Orchid Greens,60.59 L -99.40 L,1450-1561 sq.ft,3 BHK Apartment
PSR Krish Kamal,50 L -70 L,1155-1310 sq.ft,2 BHK Apartment
PSR Krish Kamal,61 L -85.05 L,1490-1620 sq.ft,3 BHK Apartment
GP North Avenue,49.44 L -57.47 L,1009-1173 sq.ft,2 BHK Apartment
GP North Avenue,,1737 sq.ft,3 BHK Apartment
Hiren High Cliff,65.11 L -1.02 Cr,1002-1251 sq.ft,2 BHK Apartment
Hiren High Cliff,88.06 L -1.02 Cr,1355-1574 sq.ft,2.5 BHK Apartment
Hiren High Cliff,1.11 Cr -1.48 Cr,1715-2285 sq.ft,3 BHK Apartment
Mantri Energia,89.58 L,1355 sq.ft,2 BHK Apartment
Mantri Energia,57.68 L -1.08 Cr,1255-1355 sq.ft,3 BHK Apartment
Garuda Vista,66.07 L -85.35 L,1104-1317 sq.ft,2 BHK Apartment
Garuda Vista,89.48 L -1.10 Cr,1522-1719 sq.ft,3 BHK Apartment
Mittal Elanza,60 L -77.27 L,1195-1210 sq.ft,2 BHK Apartment
Mittal Elanza,77.27 L,1405 sq.ft,2.5 BHK Apartment
Mittal Elanza,89.10 L -1.05 Cr,1620-1915 sq.ft,3 BHK Apartment
Frontier Heights,54.29 L -70 L,1143-1192 sq.ft,2 BHK Apartment
Frontier Heights,75 L -97 L,1680 sq.ft,3 BHK Apartment
Frontier Heights,90 L -1.10 Cr,1899-1937 sq.ft,3.5 BHK Apartment
