names,Price,Area,Unit Type
SOBHA Arena - The Park,96.31 L -1.27 Cr,1592-1706 sq.ft,3 BHK Apartment
Arge Helios,81 L -1.07 Cr,1308-1469 sq.ft,2 BHK Apartment
Arge Helios,1.06 Cr,1495 sq.ft,2.5 BHK Apartment
Arge Helios,90 L -1.66 Cr,2203-2357 sq.ft,3 BHK Apartment
Arge Helios,1.78 Cr -2.25 Cr,2872 sq.ft,4 BHK Apartment
Whitestone Rosario,45.78 L,1254 sq.ft,3 BHK Villa
Whitestone Rosario,2.31 Cr -2.33 Cr,3040 sq.ft,4 BHK Apartment
Whitestone Rosario,1.89 Cr -2.33 Cr,3040-3070 sq.ft,4 BHK Villa
Brigade Cosmopolis - Phase 1 & 2,92.26 L -1.25 Cr,1250-1360 sq.ft,2 BHK Apartment
Brigade Cosmopolis - Phase 1 & 2,1.30 Cr -2 Cr,1720-1910 sq.ft,3 BHK Apartment
Brigade Cosmopolis - Phase 1 & 2,3.50 Cr,3850 sq.ft,3 BHK PentHouse
Brigade Cosmopolis - Phase 1 & 2,2.60 Cr -2.80 Cr,3390 sq.ft,4 BHK Apartment
Brigade Cosmopolis - Phase 1 & 2,,4020 sq.ft,4 BHK PentHouse
SJR Palazza City,47 L,702 sq.ft,0.5 BHK Apartment
SJR Palazza City,35 L -48.50 L,702 sq.ft,1 BHK Apartment
SJR Palazza City,62.10 L -87.50 L,1242-1308 sq.ft,2 BHK Apartment
SJR Palazza City,66.71 L -1.17 Cr,1550-1813 sq.ft,3 BHK Apartment
SJR Palazza City,84.50 L,1657 sq.ft,3.5 BHK Apartment
SJR Palazza City,1.70 Cr,1813 sq.ft,4 BHK Apartment
Salarpuria Sattva Divinity,,606 sq.ft,1 BHK Apartment
Salarpuria Sattva Divinity,70.09 L -8.50 Cr,1180 sq.ft,2 BHK Apartment
Salarpuria Sattva Divinity,90.28 L -1.70 Cr,1520-2047 sq.ft,3 BHK Apartment
Brigade 7 Gardens,60.98 L -94.86 L,1182-1285 sq.ft,2 BHK Apartment
Brigade 7 Gardens,89.65 L -92 L,1435-1476 sq.ft,2.5 BHK Apartment
Brigade 7 Gardens,74.21 L -1.35 Cr,1595-2088 sq.ft,3 BHK Apartment
NCC Urban Mayfair,19 L -19.40 L,371 sq.ft,0.5 BHK Apartment
NCC Urban Mayfair,19.81 L,371 sq.ft,1 RK StudioApartment
NCC Urban Mayfair,56.84 L -77 L,1165-1195 sq.ft,2 BHK Apartment
NCC Urban Mayfair,68.60 L -90 L,1395-1603 sq.ft,3 BHK Apartment
Shriram Southern Crest,85.80 L -1.08 Cr,1300 sq.ft,2 BHK Apartment
Shriram Southern Crest,1.02 Cr -1.08 Cr,1300-1405 sq.ft,2.5 BHK Apartment
Shriram Southern Crest,95.80 L -1.94 Cr,1750 sq.ft,3 BHK Apartment
Shriram Southern Crest,1.94 Cr,2640 sq.ft,3 BHK PentHouse
Shriram Southern Crest,1.40 Cr,1960 sq.ft,3.5 BHK Apartment
Shriram Southern Crest,1.29 Cr -2.50 Cr,1960 sq.ft,4 BHK Apartment
Shriram Southern Crest,2.50 Cr,3435 sq.ft,4 BHK PentHouse
Valmark Orchard Square,55 L -66.65 L,1080 sq.ft,2 BHK Apartment
Valmark Orchard Square,75 L -99.85 L,1466-1621 sq.ft,3 BHK Apartment
Purva Highland,53.92 L -72.94 L,1042-1105 sq.ft,2 BHK Apartment
Purva Highland,72.86 L -91.63 L,1408-1455 sq.ft,3 BHK Apartment
Vasathi Avante,52 L -78 L,1340 sq.ft,2 BHK Apartment
Vasathi Avante,64 L -1.20 Cr,1657-1843 sq.ft,3 BHK Apartment
Mahaveer Zephyr,49.74 L -68.08 L,1044-1263 sq.ft,2 BHK Apartment
Mahaveer Zephyr,64.04 L -80.51 L,1356-1505 sq.ft,3 BHK Apartment
NVT Life Square,2.48 Cr,3565 sq.ft,4 BHK Villa
Shriram Greenfield Phase 2,38.14 L -56 L,935-1065 sq.ft,2 BHK Apartment
Shriram Greenfield Phase 2,56 L -56.27 L,1165-1225 sq.ft,2.5 BHK Apartment
Shriram Greenfield Phase 2,47.53 L -72 L,1350 sq.ft,3 BHK Apartment
Bavisha Urban Homes,66.13 L -67.03 L,1248-1265 sq.ft,2 BHK Apartment
Bavisha Urban Homes,82.39 L -82.92 L,1555-1565 sq.ft,3 BHK Apartment
SJR Blue Waters,,445-478 sq.ft,1 BHK Apartment
SJR Blue Waters,22.50 L -23.97 L,683-685 sq.ft,2 BHK Apartment
SJR Blue Waters,31.25 L -33.28 L,947-951 sq.ft,3 BHK Apartment
Gopalan Lake Front,59.30 L -70.23 L,1119-1229 sq.ft,2 BHK Apartment
Gopalan Lake Front,69.63 L -95 L,1464 sq.ft,3 BHK Apartment
Vajram Elina,34.38 L,655 sq.ft,1 BHK Apartment
Vajram Elina,51 L -73 L,1170 sq.ft,2 BHK Apartment
Vajram Elina,73.50 L -99 L,1470-1680 sq.ft,3 BHK Apartment
Vajram Elina,1.18 Cr,2265 sq.ft,4 BHK Apartment
TATA The Promont,,1000 sq.ft,1 BHK Villa
TATA The Promont,1.88 Cr -2.75 Cr,2376-2522 sq.ft,3 BHK Apartment
TATA The Promont,2 Cr -3.40 Cr,3033-3205 sq.ft,4 BHK Apartment
TATA The Promont,,3205 sq.ft,4+ BHK Apartment
Provident Rays Of Dawn,92 L -1.37 Cr,1216-1408 sq.ft,2 BHK Apartment
Provident Rays Of Dawn,1.25 Cr -1.68 Cr,1613 sq.ft,3 BHK Apartment
Purva Sunflower,45 L -48 L,883 sq.ft,2 BHK Apartment
Purva Sunflower,55 L -58 L,1082 sq.ft,3 BHK Apartment
Svamitva Emerald Square,,596-621 sq.ft,1 BHK Apartment
Svamitva Emerald Square,33 L -50.45 L,1015-1249 sq.ft,2 BHK Apartment
Svamitva Emerald Square,55 L -58.42 L,1394-1481 sq.ft,3 BHK Apartment
Casagrand Royce,28.50 L -37.62 L,600-686 sq.ft,1 BHK Apartment
Casagrand Royce,28.35 L -69.96 L,1111-1339 sq.ft,2 BHK Apartment
Casagrand Royce,65.56 L -89.30 L,1640-1879 sq.ft,3 BHK Apartment
Casagrand Royce,99.75 L -1.60 Cr,2100-2107 sq.ft,4 BHK Apartment
Sekhar Olympus,68 L -78 L,1156-1242 sq.ft,2 BHK Apartment
Sekhar Olympus,79.70 L,1346 sq.ft,2.5 BHK Apartment
Sekhar Olympus,85.76 L -1.01 Cr,1459-1757 sq.ft,3 BHK Apartment
MBR Shangri La,57 L -66 L,1003-1160 sq.ft,2 BHK Apartment
MBR Shangri La,72 L -87 L,1300-1526 sq.ft,3 BHK Apartment
GR Elysium 3,60.45 L -93.69 L,1115-1385 sq.ft,2 BHK Apartment
GR Elysium 3,88.40 L -93.69 L,1515-1615 sq.ft,2.5 BHK Apartment
GR Elysium 3,96.60 L -1.02 Cr,1670-1780 sq.ft,3 BHK Apartment
ELV KingsLand,38.52 L -49.64 L,1070-1360 sq.ft,2 BHK Apartment
ELV KingsLand,38.52 L -60.77 L,1340-1665 sq.ft,3 BHK Apartment
Gopalan Olympia,43.66 L -45.76 L,980-1030 sq.ft,2 BHK Apartment
Gopalan Olympia,59.60 L,1360 sq.ft,3 BHK Apartment
Mantri Serenity,62 L -1 Cr,1025-1260 sq.ft,2 BHK Apartment
Mantri Serenity,2 K -1.81 Cr,1275-1710 sq.ft,3 BHK Apartment
Sobha Royal Pavilion,80.60 L -1.21 Cr,1302-1409 sq.ft,2 BHK Apartment
Sobha Royal Pavilion,85 L -1.70 Cr,1490-1811 sq.ft,3 BHK Apartment
Sobha Royal Pavilion,1.37 Cr -2.15 Cr,2182 sq.ft,4 BHK Apartment
Mahaveer Turquoise,1.10 Cr -1.12 Cr,2319 sq.ft,3 BHK Apartment
Mahaveer Turquoise,1.25 Cr -1.33 Cr,2227 sq.ft,3 BHK Villa
Mahaveer Turquoise,1.37 Cr,2580 sq.ft,4 BHK Apartment
Mahaveer Turquoise,1.37 Cr -1.53 Cr,2580 sq.ft,4 BHK Villa
Casagrand Esmeralda,22 L -32.74 L,525-546 sq.ft,1 BHK Apartment
Casagrand Esmeralda,31.82 L -32.74 L,657-679 sq.ft,1.5 BHK Apartment
Casagrand Esmeralda,35.17 L -39.75 L,784-846 sq.ft,2 BHK Apartment
Mahaveer Palatium,1 Cr -1.24 Cr,1470-1558 sq.ft,2 BHK Apartment
Mahaveer Palatium,1.18 Cr -1.24 Cr,1470-1550 sq.ft,2.5 BHK Apartment
Mahaveer Palatium,1.15 Cr -1.84 Cr,1835-2203 sq.ft,3 BHK Apartment
SNN Clermont,13 L -51.44 L,,Plot
Supertech Micasa,2.25 Cr,2650 sq.ft,2 BHK Apartment
Supertech Micasa,1.89 Cr -2.83 Cr,2526-2635 sq.ft,3 BHK Apartment
Supertech Micasa,2.30 Cr -5.10 Cr,3067-3975 sq.ft,4 BHK Apartment
Supertech Micasa,4.13 Cr -5.30 Cr,4865 sq.ft,4+ BHK Apartment
Ozone WF48,55.22 L -55.41 L,1127-1131 sq.ft,2 BHK Apartment
Ozone WF48,69.13 L -85.01 L,1411-1735 sq.ft,3 BHK Apartment
Samprasiddhi Green Edge,94.23 L -1.05 Cr,1388-1550 sq.ft,2 BHK Apartment
Samprasiddhi Green Edge,1.23 Cr -1.33 Cr,1819-1972 sq.ft,3 BHK Apartment
Samprasiddhi Green Edge,1.63 Cr -2.48 Cr,2413-3017 sq.ft,4 BHK Apartment
Godrej Air,43 L -65 L,706-716 sq.ft,1 BHK Apartment
Godrej Air,8 L -1.17 Cr,1108-1250 sq.ft,2 BHK Apartment
Godrej Air,1.09 Cr,1430 sq.ft,2.5 BHK Apartment
Godrej Air,95.79 L -1.52 Cr,1639-1853 sq.ft,3 BHK Apartment
Mahaveer Celesse,26.84 L -28.88 L,621-672 sq.ft,1 BHK Apartment
Mahaveer Celesse,42 L -47.64 L,1043-1141 sq.ft,2 BHK Apartment
Mahaveer Celesse,52.24 L -66.74 L,1215-1575 sq.ft,3 BHK Apartment
SBC The Nest,32.23 L -37.51 L,629-682 sq.ft,1 BHK Apartment
SBC The Nest,50 L -80 L,1023-1259 sq.ft,2 BHK Apartment
SBC The Nest,76.61 L -76.89 L,1393-1398 sq.ft,2.5 BHK Apartment
SBC The Nest,69.88 L -95 L,1446-1537 sq.ft,3 BHK Apartment
Godrej Air,64.01 L -75.75 L,1171-1400 sq.ft,2 BHK Apartment
Godrej Air,73.95 L -96 L,1562-1599 sq.ft,3 BHK Apartment
Mahaveer Cygnet,,1277-1280 sq.ft,2 BHK Apartment
Mahaveer Cygnet,73.93 L -74.23 L,1479-1485 sq.ft,2.5 BHK Apartment
Mahaveer Cygnet,86.58 L -1 Cr,1732-2020 sq.ft,3 BHK Apartment
Brigade Meadows,38 L,,1 BHK Apartment
Brigade Meadows,35 L -64 L,1010-1300 sq.ft,2 BHK Apartment
Brigade Meadows,55 L -78.89 L,1430-1630 sq.ft,3 BHK Apartment
Brigade Meadows,60 L,1250 sq.ft,3 BHK Villa
Sashank Aavaas,44.19 L -59.04 L,1030-1420 sq.ft,2 BHK Apartment
Sashank Aavaas,60.94 L -69.69 L,1470-1700 sq.ft,3 BHK Apartment
Assetz Soul & Soil,41.06 L -47.93 L,1053-1229 sq.ft,2 BHK Apartment
Assetz Soul & Soil,53 L -54.75 L,1359-1404 sq.ft,3 BHK Apartment
Bren Woods,53.20 L -65 L,1031-1065 sq.ft,2 BHK Apartment
Bren Woods,66 L -75 L,1252-1333 sq.ft,3 BHK Apartment
KVG Grandeur,28.47 L -37.15 L,949-1032 sq.ft,2 BHK Apartment
KVG Grandeur,36 L -46.94 L,1200-1304 sq.ft,3 BHK Apartment
NCN Swasthi,72.66 L -96.11 L,1274-1290 sq.ft,2 BHK Apartment
NCN Swasthi,96.11 L,1412 sq.ft,2.5 BHK Apartment
NCN Swasthi,85.29 L -1.17 Cr,1522 sq.ft,3 BHK Apartment
DSMAX SKYCLASSIC,1.56 Cr -1.92 Cr,2183 sq.ft,3 BHK Apartment
DSMAX SKYCLASSIC,1.92 Cr -2.03 Cr,2182-2213 sq.ft,3 BHK RowHouse
DSMAX SKYCLASSIC,1.47 Cr -2.03 Cr,2182 sq.ft,3 BHK Villa
DSMAX SKYCLASSIC,2.16 Cr,2532 sq.ft,4 BHK Apartment
DSMAX SKYCLASSIC,2.16 Cr -2.28 Cr,2460-2532 sq.ft,4 BHK RowHouse
DSMAX SKYCLASSIC,1.70 Cr -2.50 Cr,2460 sq.ft,4 BHK Villa
DNR Casablanca,43.29 L -49.50 L,1116-1220 sq.ft,2 BHK Apartment
DNR Casablanca,58.12 L -60.12 L,1517-1571 sq.ft,3 BHK Apartment
Mahindra Lifespace Windchimes Phase II,60 L -69 L,1142-1225 sq.ft,2 BHK Apartment
Mahindra Lifespace Windchimes Phase II,74.28 L -96 L,1414-1730 sq.ft,3 BHK Apartment
Shri Sai Mounika Park Vesta,70 L -1.01 Cr,1279-1483 sq.ft,2 BHK Apartment
Shri Sai Mounika Park Vesta,93.50 L -1.71 Cr,1773-1816 sq.ft,3 BHK Apartment
Shri Sai Mounika Park Vesta,1.70 Cr -1.71 Cr,2526 sq.ft,3.5 BHK Apartment
Shri Sai Mounika Park Vesta,95 L,2423 sq.ft,4 BHK Apartment
Aparna Elina,67.27 L,1035 sq.ft,2 BHK Apartment
Aparna Elina,81.05 L,1247 sq.ft,3 BHK Apartment
Century Breeze,31.18 L -1.25 Cr,,Plot
Godrej Reserve,94.50 L -98.37 L,1200-1250 sq.ft,2 BHK Apartment
Godrej Reserve,1.14 Cr -1.49 Cr,1475-1680 sq.ft,3 BHK Apartment
Godrej Reserve,1.74 Cr -1.89 Cr,1950-2400 sq.ft,4 BHK Apartment
Deccan Habitat,1.29 Cr -2.36 Cr,1776-1792 sq.ft,3 BHK Apartment
Deccan Habitat,1.74 Cr,2370 sq.ft,3.5 BHK Apartment
Deccan Habitat,1.74 Cr -2.85 Cr,3012 sq.ft,4 BHK Apartment
Bhartiya City Nikoo Homes II,49.22 L -84 L,1073-1104 sq.ft,2 BHK Apartment
Bhartiya City Nikoo Homes II,58.09 L -1 Cr,1267-1531 sq.ft,3 BHK Apartment
DNR Reflection,45 L -60 L,615-634 sq.ft,1 BHK Apartment
DNR Reflection,78.50 L -1.15 Cr,1146-1169 sq.ft,2 BHK Apartment
DNR Reflection,1.01 Cr -1.01 Cr,1352-1359 sq.ft,2.5 BHK Apartment
DNR Reflection,94.31 L -1.38 Cr,1469-1607 sq.ft,3 BHK Apartment
Poorvi Shreenivasa Grand,1.70 Cr -2.20 Cr,1910-2100 sq.ft,3 BHK Apartment
Poorvi Shreenivasa Grand,2.35 Cr -5.50 Cr,2600 sq.ft,4 BHK Apartment
Poorvi Shreenivasa Grand,3.97 Cr,3900 sq.ft,4 BHK PentHouse
Poorvi Shreenivasa Grand,6.25 Cr -8 Cr,5310 sq.ft,4+ BHK Apartment
Poorvi Shreenivasa Grand,4.99 Cr -5.41 Cr,4900-5310 sq.ft,5 BHK PentHouse
Vaishnavi Oasis,51.16 L -54 L,826 sq.ft,1 BHK Apartment
Vaishnavi Oasis,75 L -1.20 Cr,1296-1323 sq.ft,2 BHK Apartment
Vaishnavi Oasis,71.45 L,1276 sq.ft,2.5 BHK Apartment
Vaishnavi Oasis,83.10 L -1.20 Cr,1484-1596 sq.ft,3 BHK Apartment
Prestige Kew Gardens,2.10 Cr -4.18 Cr,2850-3258 sq.ft,3 BHK Apartment
Prestige Kew Gardens,3.55 Cr -5.92 Cr,4020-4235 sq.ft,4 BHK Apartment
Embassy Lake Terraces,4.34 Cr -5.33 Cr,3531-4209 sq.ft,3 BHK Apartment
Embassy Lake Terraces,4.30 Cr -9.58 Cr,4424-7792 sq.ft,4 BHK Apartment
Embassy Lake Terraces,10.24 Cr -10.94 Cr,8902 sq.ft,4+ BHK Apartment
Embassy Lake Terraces,10.24 Cr -10.94 Cr,8331-8902 sq.ft,5 BHK Apartment
Century Ethos,25.44 L,510 sq.ft,0.5 BHK Apartment
Century Ethos,30 L -61.06 L,693 sq.ft,1 BHK Apartment
Century Ethos,61.06 L,895 sq.ft,1.5 BHK Apartment
Century Ethos,40 L -83.60 L,1040-1245 sq.ft,2 BHK Apartment
Century Ethos,76.03 L,1437 sq.ft,2.5 BHK Apartment
Century Ethos,66.86 L -1.25 Cr,1732-2157 sq.ft,3 BHK Apartment
Century Ethos,1.10 Cr,2200 sq.ft,4 BHK Apartment
Century Ethos,28.25 L,510 sq.ft,Studio BHK Apartment
Sobha Morzaria Grandeur,1.33 Cr -1.68 Cr,1920-2100 sq.ft,3 BHK Apartment
Sobha Morzaria Grandeur,1.85 Cr -2.87 Cr,2725-3230 sq.ft,4 BHK Apartment
Salarpuria Sattva Northland,1.88 Cr,1541 sq.ft,2 BHK Apartment
Salarpuria Sattva Northland,2.39 Cr -3.50 Cr,2600-2742 sq.ft,3 BHK Apartment
Salarpuria Sattva Northland,4 Cr -5.01 Cr,3653-3754 sq.ft,4 BHK Apartment
Goyal Orchid Woods,11.98 L -14.98 L,,Plot
Uber Verdant,2.70 Cr -2.79 Cr,3600 sq.ft,4 BHK Apartment
Uber Verdant,3 Cr -3.09 Cr,3564-3676 sq.ft,4 BHK TownHouse
Uber Verdant,2.70 Cr -3.20 Cr,3676 sq.ft,4 BHK Villa
Sai Charan Hill View,93.72 L -1.20 Cr,1320 sq.ft,2 BHK Apartment
Sai Charan Hill View,95.04 L -2 Cr,1320-1985 sq.ft,3 BHK Apartment
Sai Charan Hill View,1.77 Cr -2.64 Cr,2470-2790 sq.ft,4 BHK Apartment
Reliaable Residenza,46.80 L -93.60 L,,Plot
Legacy Eldora,1.31 Cr,2185 sq.ft,2 BHK Apartment
Legacy Eldora,1.31 Cr -2.51 Cr,2185-2440 sq.ft,3 BHK Apartment
Legacy Eldora,2.42 Cr -3.14 Cr,3900 sq.ft,4 BHK Apartment
Goyal Orchid Woods,35 L -50 L,589-839 sq.ft,1 BHK Apartment
Goyal Orchid Woods,41 L -45 L,700-756 sq.ft,1.5 BHK Apartment
Goyal Orchid Woods,57 L -81 L,960-1358 sq.ft,2 BHK Apartment
Goyal Orchid Woods,75 L -87 L,1288-1438 sq.ft,2.5 BHK Apartment
Goyal Orchid Woods,86 L -1 Cr,1485-1725 sq.ft,3 BHK Apartment
Rohan Akriti Phase 2,42 L -50.28 L,1060-1145 sq.ft,2 BHK Apartment
Rohan Akriti Phase 2,50.78 L -59.48 L,1335-1375 sq.ft,3 BHK Apartment
GRC Subhiksha,54 L -99 L,1151-1197 sq.ft,2 BHK Apartment
GRC Subhiksha,69.81 L -1.25 Cr,1488-1534 sq.ft,3 BHK Apartment
The Lake View Address,30 L -1.18 Cr,1500-2400 sq.ft,Plot
The Lake View Address,25.25 L -27.97 L,641-710 sq.ft,1 BHK Apartment
The Lake View Address,46.29 L -49.17 L,1175-1248 sq.ft,2 BHK Apartment
The Lake View Address,51.18 L -52.48 L,1299-1332 sq.ft,2.5 BHK Apartment
The Lake View Address,61.58 L -62.56 L,1563-1588 sq.ft,3 BHK Apartment
The Lake View Address,1.37 Cr -1.70 Cr,2040 sq.ft,3 BHK Villa
The Lake View Address,2.15 Cr -2.22 Cr,3165 sq.ft,4 BHK Villa
Total Environment After The Rain,4.44 Cr -4.52 Cr,3200 sq.ft,4 BHK Apartment
Total Environment After The Rain,4.30 Cr -7.26 Cr,3310-5120 sq.ft,4 BHK Villa
New Dawn,,1840 sq.ft,3 BHK Apartment
New Dawn,85.26 L -97.92 L,1750-2010 sq.ft,3 BHK Villa
Icon Sanctuary,1.57 Cr -2.33 Cr,2807-3714 sq.ft,3 BHK RowHouse
Icon Sanctuary,1.57 Cr -2.33 Cr,2807 sq.ft,3 BHK Villa
Icon Sanctuary,1.40 Cr -1.51 Cr,2807 sq.ft,4 BHK Villa
NVT Mystic Garden,1.15 Cr,2292 sq.ft,3 BHK Apartment
NVT Mystic Garden,98 L -1.25 Cr,1939 sq.ft,3 BHK Villa
NVT Mystic Garden,1.45 Cr,2876 sq.ft,4 BHK Apartment
NVT Mystic Garden,98 L -2.48 Cr,2272-2872 sq.ft,4 BHK Villa
DSMAX SAVERA,54 L -63.02 L,1080-1220 sq.ft,2 BHK Apartment
DSMAX SAVERA,65 L -72.22 L,1320-1410 sq.ft,3 BHK Apartment
Yuva Eka,42 L -52 L,946-1137 sq.ft,2 BHK Apartment
Yuva Eka,60.49 L -63.18 L,1405-1472 sq.ft,3 BHK Apartment
Aashrayaa Eternia,,700 sq.ft,1 BHK Apartment
Aashrayaa Eternia,76.87 L -1.15 Cr,1156-1447 sq.ft,2 BHK Apartment
Aashrayaa Eternia,87 L -1.40 Cr,1454-1904 sq.ft,3 BHK Apartment
Aashrayaa Eternia,1.20 Cr -1.54 Cr,1974-2171 sq.ft,4 BHK Apartment
Klassik Landmark Phase 2,2.03 Cr -2.40 Cr,2717-3026 sq.ft,4 BHK Villa
Rohan Iksha,79 L -84.26 L,1446-1506 sq.ft,3 BHK Apartment
Rohan Iksha,1.45 Cr,2645 sq.ft,4 BHK Apartment
LGCL New Life Villas,42.72 L -54.18 L,1068-1260 sq.ft,2 BHK Apartment
LGCL New Life Villas,53.80 L -79.16 L,1345-1755 sq.ft,3 BHK Apartment
Vaswani Walnut Creek,35.77 L -38.75 L,660-715 sq.ft,1 BHK Apartment
Vaswani Walnut Creek,52.86 L -63.97 L,935-1120 sq.ft,2 BHK Apartment
Vaswani Walnut Creek,80.78 L -84.57 L,1430-1500 sq.ft,3 BHK Apartment
Keya Homes The Green Terraces,38.15 L -47.04 L,1070-1125 sq.ft,2 BHK Apartment
Keya Homes The Green Terraces,65.19 L -72.03 L,1590-1730 sq.ft,3 BHK Apartment
Keya Homes The Green Terraces,85.28 L -87.36 L,2080 sq.ft,4 BHK Apartment
GAG Classic Amrutha,1.91 Cr -3.20 Cr,3030-3148 sq.ft,3 BHK Villa
GAG Classic Amrutha,2.55 Cr -3.76 Cr,4427-4943 sq.ft,4 BHK Villa
Suvastu Oak Leaf,37.94 L -44.31 L,1084-1266 sq.ft,2 BHK Apartment
Suvastu Oak Leaf,45 L -65 L,1717 sq.ft,3 BHK Apartment
NBR Trifecta,22.56 L -24.96 L,580-650 sq.ft,1 BHK Apartment
NBR Trifecta,32.50 L -39.70 L,870-1080 sq.ft,2 BHK Apartment
Saiven Siesta,65 L,705 sq.ft,0.5 BHK Apartment
Saiven Siesta,62 L -65 L,705 sq.ft,1 BHK Apartment
Saiven Siesta,93.96 L -1.30 Cr,1392 sq.ft,2 BHK Apartment
Saiven Siesta,1.21 Cr -2.10 Cr,1788-1836 sq.ft,3 BHK Apartment
Purva 270,9.30 L -47.97 L,,Plot
Aditya Palm Grove,55 L,888 sq.ft,1 BHK Apartment
Aditya Palm Grove,46.53 L -81 L,1074-1117 sq.ft,2 BHK Apartment
Aditya Palm Grove,55 L -1.05 Cr,1407-1710 sq.ft,3 BHK Apartment
Brigade Panorama Phase II,50.35 L -1.31 Cr,,Plot
Brigade Panorama Phase II,39 L,,2 BHK Villa
Brigade Panorama Phase II,1.42 Cr,,3 BHK Villa
Brigade Panorama Phase II,2.20 Cr -3.33 Cr,,4 BHK Villa
Mahaveer Horizon,26.13 L -1.10 Cr,,Plot
Salarpuria Sattva Greenage,1 Cr -1.43 Cr,1345 sq.ft,2 BHK Apartment
Salarpuria Sattva Greenage,1.35 L -1.96 Cr,1590-1890 sq.ft,3 BHK Apartment
Salarpuria Sattva Greenage,2.78 Cr -3 Cr,2800-2870 sq.ft,4 BHK Apartment
DSR White Waters Phase II,46.80 L -1.28 Cr,,Plot
Reliaable Dollar Colony,45 L -63.19 L,1082-1277 sq.ft,2 BHK Apartment
Reliaable Dollar Colony,63 L -81.51 L,1443-1647 sq.ft,3 BHK Apartment
Salarpuria Sattva Misty Charm,31 L -40 L,551-605 sq.ft,1 BHK Apartment
Salarpuria Sattva Misty Charm,45 L -65 L,945-1056 sq.ft,2 BHK Apartment
Salarpuria Sattva Misty Charm,67 L -88.27 L,1254-1475 sq.ft,3 BHK Apartment
DSR White Waters Phase II,1.93 Cr -3.70 Cr,2713-4033 sq.ft,3 BHK Apartment
DSR White Waters Phase II,3.45 Cr -5.07 Cr,5668 sq.ft,4 BHK Apartment
DSR White Waters Phase II,6.54 Cr -6.57 Cr,5129 sq.ft,4 BHK Villa
Prestige Lake Ridge,36 L,661 sq.ft,0.5 BHK Apartment
Prestige Lake Ridge,38 L -38.90 L,661 sq.ft,1 BHK Apartment
Prestige Lake Ridge,56.85 L -73 L,1137-1159 sq.ft,2 BHK Apartment
Prestige Lake Ridge,75 L -76.22 L,1345-1367 sq.ft,2.5 BHK Apartment
Prestige Lake Ridge,63.70 L -1.09 Cr,1571 sq.ft,3 BHK Apartment
Prestige Lake Ridge,96.07 L -96.35 L,1745-1750 sq.ft,3.5 BHK Apartment
Salarpuria Sattva Senorita,1.40 Cr,1287-1355 sq.ft,2 BHK Apartment
Salarpuria Sattva Senorita,1.30 Cr -2.89 Cr,1922-1929 sq.ft,3 BHK Apartment
Salarpuria Sattva Senorita,2.88 Cr -2.89 Cr,3402-3419 sq.ft,3 BHK PentHouse
Salarpuria Sattva Senorita,2.89 Cr -2.97 Cr,3516 sq.ft,4 BHK Apartment
Salarpuria Sattva Senorita,2.95 Cr -2.97 Cr,3498-3516 sq.ft,4 BHK PentHouse
Urban Eco Space,31.90 L -39 L,943-1182 sq.ft,2 BHK Apartment
Urban Eco Space,45.41 L -47.46 L,1398-1467 sq.ft,3 BHK Apartment
Cynosure White Spaces,30 L -38 L,745 sq.ft,1 BHK Apartment
Cynosure White Spaces,32 L -52 L,866-1153 sq.ft,2 BHK Apartment
Cynosure White Spaces,50 L -75 L,1225-1541 sq.ft,3 BHK Apartment
Peninsula Heights,3.22 Cr -4.50 Cr,3240-3890 sq.ft,3 BHK Apartment
Peninsula Heights,3.99 Cr -4.90 Cr,4920 sq.ft,4 BHK Apartment
Peninsula Heights,5.70 Cr -6.80 Cr,6800 sq.ft,4+ BHK Apartment
Peninsula Heights,5.70 Cr -6.80 Cr,5730-6800 sq.ft,5 BHK Apartment
Legacy Vivienda,1.84 Cr -1.94 Cr,2634-2789 sq.ft,3 BHK RowHouse
Legacy Vivienda,1.71 Cr -1.94 Cr,2789 sq.ft,3 BHK Villa
Legacy Vivienda,2.18 Cr -2.96 Cr,3122-4237 sq.ft,4 BHK RowHouse
Legacy Vivienda,2.02 Cr -2.96 Cr,3122 sq.ft,4 BHK Villa
Prestige Woodside,30.69 L -32 L,660 sq.ft,1 BHK Apartment
Prestige Woodside,36.12 L -41 L,850 sq.ft,2 BHK Apartment
Prestige Woodside,49.93 L -56 L,1175 sq.ft,3 BHK Apartment
Salarpuria Sattva Aspire,60 L,613 sq.ft,1 BHK Apartment
Salarpuria Sattva Aspire,84.28 L -1.20 Cr,1388-1799 sq.ft,2 BHK Apartment
Salarpuria Sattva Aspire,98 L -1.10 Cr,1459-1622 sq.ft,2.5 BHK Apartment
Salarpuria Sattva Aspire,98 L -1.93 Cr,1933-2762 sq.ft,3 BHK Apartment
Salarpuria Sattva Aspire,2 Cr -2.20 Cr,2949-2956 sq.ft,4 BHK Apartment
Salarpuria Sattva Aspire,4.08 Cr -4.35 Cr,6290 sq.ft,4+ BHK Apartment
Salarpuria Sattva Aspire,4.08 Cr -4.35 Cr,6290-6314 sq.ft,5 BHK Apartment
Godrej United,1 Cr -1.30 Cr,1832-2076 sq.ft,3 BHK Apartment
UKN The Belvedere,29.69 L -51.23 L,660-780 sq.ft,1 BHK Apartment
UKN The Belvedere,44.03 L -67.78 L,930-1030 sq.ft,2 BHK Apartment
UKN The Belvedere,67.78 L -80.26 L,1275-1535 sq.ft,3 BHK Apartment
